,state,vmt_arterial_rural,date,vmt_arterial_urban,vmt_all
312,Pennsylvania,2040.0,2004-02-01 00:00:00,3154.0,7133.0
313,Rhode Island,51.0,2004-02-01 00:00:00,423.0,551.0
314,Vermont,230.0,2004-02-01 00:00:00,90.0,644.0
315,Delaware,147.0,2004-02-01 00:00:00,262.0,602.0
316,District of Columbia,0.0,2004-02-01 00:00:00,213.0,278.0
317,Florida,2673.0,2004-02-01 00:00:00,6495.0,14137.0
318,Georgia,2195.0,2004-02-01 00:00:00,3509.0,8336.0
319,Maryland,779.0,2004-02-01 00:00:00,2187.0,3701.0
320,North Carolina,1888.0,2004-02-01 00:00:00,2443.0,7006.0
321,South Carolina,1532.0,2004-02-01 00:00:00,1086.0,3660.0
322,Virginia,1774.0,2004-02-01 00:00:00,2636.0,5734.0
323,West Virginia,568.0,2004-02-01 00:00:00,244.0,1193.0
324,Illinois,1464.0,2004-02-01 00:00:00,4030.0,7380.0
325,Indiana,1319.0,2004-02-01 00:00:00,2070.0,5309.0
326,Iowa,891.0,2004-02-01 00:00:00,614.0,2048.0
327,Kansas,724.0,2004-02-01 00:00:00,757.0,1980.0
328,Michigan,1634.0,2004-02-01 00:00:00,3822.0,7302.0
329,Minnesota,1178.0,2004-02-01 00:00:00,1558.0,3789.0
330,Missouri,1263.0,2004-02-01 00:00:00,1847.0,4510.0
331,Nebraska,541.0,2004-02-01 00:00:00,402.0,1223.0
332,North Dakota,241.0,2004-02-01 00:00:00,95.0,493.0
333,Ohio,1671.0,2004-02-01 00:00:00,3647.0,7894.0
334,South Dakota,312.0,2004-02-01 00:00:00,119.0,562.0
335,Wisconsin,1362.0,2004-02-01 00:00:00,1378.0,3968.0
336,Alabama,1235.0,2004-02-01 00:00:00,1457.0,4372.0
337,Arkansas,815.0,2004-02-01 00:00:00,620.0,2008.0
338,Kentucky,1031.0,2004-02-01 00:00:00,1137.0,3254.0
339,Louisiana,903.0,2004-02-01 00:00:00,1244.0,3099.0
340,Mississippi,1072.0,2004-02-01 00:00:00,597.0,2831.0
341,Oklahoma,976.0,2004-02-01 00:00:00,1284.0,3390.0
342,Tennessee,1559.0,2004-02-01 00:00:00,2449.0,5370.0
343,Texas,3900.0,2004-02-01 00:00:00,9416.0,17522.0
344,Alaska,84.0,2004-02-01 00:00:00,123.0,325.0
345,Arizona,1034.0,2004-02-01 00:00:00,2268.0,4393.0
346,California,3463.0,2004-02-01 00:00:00,16518.0,24155.0
347,Colorado,870.0,2004-02-01 00:00:00,1665.0,3185.0
348,Hawaii,119.0,2004-02-01 00:00:00,262.0,567.0
349,Idaho,347.0,2004-02-01 00:00:00,294.0,1015.0
350,Montana,389.0,2004-02-01 00:00:00,131.0,765.0
351,Nevada,268.0,2004-02-01 00:00:00,727.0,1313.0
352,New Mexico,698.0,2004-02-01 00:00:00,499.0,1809.0
353,Oregon,841.0,2004-02-01 00:00:00,986.0,2539.0
354,Utah,430.0,2004-02-01 00:00:00,772.0,1665.0
355,Washington,832.0,2004-02-01 00:00:00,2221.0,4071.0
356,Wyoming,282.0,2004-02-01 00:00:00,130.0,582.0
357,Connecticut,155.0,2003-04-01 00:00:00,1818.0,2555.0
358,Maine,510.0,2003-04-01 00:00:00,220.0,1184.0
359,Massachusetts,537.0,2003-04-01 00:00:00,2826.0,4301.0
360,New Hampshire,373.0,2003-04-01 00:00:00,349.0,1007.0
361,New Jersey,802.0,2003-04-01 00:00:00,3615.0,5759.0
362,New York,1450.0,2003-04-01 00:00:00,5855.0,10533.0
363,Pennsylvania,2518.0,2003-04-01 00:00:00,3735.0,8548.0
364,Rhode Island,61.0,2003-04-01 00:00:00,510.0,666.0
365,Vermont,224.0,2003-04-01 00:00:00,102.0,551.0
366,Delaware,197.0,2003-04-01 00:00:00,303.0,737.0
367,District of Columbia,0.0,2003-04-01 00:00:00,224.0,292.0
368,Florida,2813.0,2003-04-01 00:00:00,6889.0,15188.0
